id;username;nama;password;role;saldo
ID1;Jessica;JESSICA;ITBJESSICA024;ADMIN;12000
ID2;sulthan;SULTHAN DZAKY ALFARO;SULTHAN_TPB_357;ADMIN;7500
ID3;rozan;ROZAN GHOSANI;MASTER-ROZAN411;ADMIN;25000
ID4;Vyto;SIMBOLON PATRICK VYTO P;447VYTO_TUBES;ADMIN;8000
ID5;MONICA_is-famous;AGNES MONICA;GO-TO-INTER1986;USER;10000
ID6;spidermand-1996;TOM HOLLAND;THOMAS106EDITH;USER;87000
ID7;evans_qwerty098;CHRISTOPHER ROBERT EVANS;FANTASTIC_CHRIS-13-;USER;43000
ID8;3490bieber;JUSTIN BIEBER;BABY-2010FAV;USER;35200
ID9;BillieLi-sing_2374;BILLIE EILISH;2001BADGUY;USER;13580
ID10;selena2334_Goes;SELENA GOMEZ;WORLD22-HELLO;USER;150000
ID11;enolala-holmes_;MILLIE BOBBY BROWN;MISSOFSTRANGE5;USER;220000
ID12;643partridge;LOUIS PARTRIDGE;IAMAZING8237;USER;69000
ID13;arrgrande-73;ARIANA GRANDE;THANKYOUNEXTPLZ;USER;283000
ID14;karaTEjack;JACKIE CHAN;CHENGLONG923;USER;57500
ID15;willsmile_-84;WILL SMITH;53CARROLL_SLAP;USER;400000
