id;username;nama;password;role;saldo
ID1;Jessica;JESSICA;TbSNQ[b[WM<AF;ADMIN;12000
ID2;sulthan;SULTHAN DZAKY ALFARO;^c]XTI]qh\MmE9D;ADMIN;7500
ID3;rozan;ROZAN GHOSANI;XOdXQZ=dcfL\F5>;ADMIN;25000
ID4;Vyto;SIMBOLON PATRICK VYTO P;@CIZe\^qhaMSd;ADMIN;8000
ID5;MONICA_is-famous;AGNES MONICA;R]?X[5X`hQ]@K=C;USER;10000
ID6;spidermand-1996;TOM HOLLAND;_V`QM[ACKQOWeL;USER;87000
ID7;evans_qwerty098;CHRISTOPHER ROBERT EVANS;QO_XM[c[WkNVcM_5AFB;USER;43000
ID8;3490bieber;JUSTIN BIEBER;MOS]9:@DERLd;USER;35200
ID9;BillieLi-sing_2374;BILLIE EILISH;>?B5NISYie;USER;13580
ID10;selena2334_Goes;SELENA GOMEZ;b]cPP:B@\QWZ`;USER;150000
ID11;enolala-holmes_;MILLIE BOBBY BROWN;XWdW[NbffMYUV9;USER;220000
ID12;643partridge;LOUIS PARTRIDGE;TO^EfQ]YM??F;USER;69000
ID13;arrgrande-73;ARIANA GRANDE;_VRRWa^gbQcbaPf;USER;283000
ID14;karaTEjack;JACKIE CHAN;NVVRST^`[F>B;USER;57500
ID15;willsmile_-84;WILL SMITH;ABTE^Z^^`k^ZRT;USER;400000
